Category,Job Title,Company,Salary Range,Required Skills,Experience Level,Work Type,Country,Source
Software Development,Senior Frontend Developer,Sanctuary Computer,$80k - $120k,"api, backend, CSS, ecommerce, frontend, fullstack, graphql, postgresql, redux, security, seo, shopify, open source, paas, product management, documentation, mentoring, Typescript , Redis, web applications, cypress, data visualization, firebase, IoT, engineering management, runtime, responsive, prismic, testing, next.js, CMS, jest, REST, web sockets, performance optimization",Mid,Remote,"LATAM, Asia",Remotive
Software Development,Fullstack Developer (US - ET),Chooose,Not specified,"api, azure, fullstack, python, react, saas, AI/ML, project management, documentation, Typescript , computer science, diversity, insurance",Entry,Remote,USA,Remotive
All others,Online Data Analyst (United States/Spanish speakers),TELUS Digital,Not specified,"go, social media, AI/ML, research, diversity",Mid,Remote,USA,Remotive
Writing,Freelance Writer,IAPWE,$50-$75 /hour,REST,Senior,Remote,Worldwide,Remotive
Writing,Copywriter,Coalition Technologies ,$20k -$35k,"accounting, excel, research, data analysis, bookkeeping, google sheets, quickbooks, data entry, insurance, G Suite",Senior,Remote,Worldwide,Remotive
Customer Service,Customer Success Manager EMEA & APAC,Crisp,$55k - $65k,"saas, AI/ML, automation, CRO, data analysis, partnerships, onboarding, troubleshooting, lever",Mid,Remote,"EMEA, APAC",Remotive
Customer Service,Customer Success Team Lead (German Speaking),Filestage,Not specified,"react, hardware, account management, onboarding, startup, risk management, team lead, travel, REST",Entry,Remote,"Europe, EMEA",Remotive
Customer Service,Technical Support Operator,KnownHost,$30k - $40k,"apache, drupal, magento, perl, php, python, ruby/rails, wordpress, bash, dns, web hosting, helpdesk, MySQL, technical support, chat, troubleshooting, Linux/Unix, shell, REST, insurance",Mid,Remote,USA,Remotive
Project Management,Junior Project Coordinator,C4Media Inc.,Not specified,"html, Figma, research, onboarding, data entry, infrastructure, travel",Mid,Remote,"Brazil, Argentina",Remotive
All others,Content Reviewer,TELUS Digital,14$/hour,"android, go, ios, social media, AI/ML, diversity",Mid,Remote,USA,Remotive
DevOps / Sysadmin,Senior DevOps Engineer,Marketerx,$130k - $150k,"AWS, cloud, docker, kubernetes, security, SRE, AI/ML, CI/CD, terraform, startup, ansible, infrastructure",Mid,Remote,USA,Remotive
Customer Service,Customer Retention Manager,AutoHDR,Not specified,"AI/ML, editing, startup",Mid,Remote,USA,Remotive
Customer Service,Customer Support Representative,AutoHDR,Not specified,"saas, AI/ML, editing, technical support, onboarding, responsive",Senior,Remote,USA,Remotive
Software Development,Senior Independent Software Developer,A.Team,$90 - $150 /hour,"go, wordpress, chat, apple, testing, catalyst",Senior,Remote,"Americas, Europe, Israel",Remotive
Software Development,Senior Independent AI Engineer / Architect,A.Team,$120 - $170 /hour,"go, UI/UX, wordpress, chat, apple, testing, catalyst",Mid,Remote,"Americas, Europe, Israel",Remotive
Software Development,Tech Lead Full-Stack Rails Engineer,Mitre Media,$170k - $200k,"api, CSS, docker, elasticsearch, fullstack, html, javascript, kubernetes, postgresql, react, ror, ruby/rails, AI/ML, CAD, advertising, Redis, ES6, web applications, MySQL, NLP, fintech, Micro services, github, system architecture",Senior,Remote,"USA, Canada, USA timezones",Remotive
Software Development,Tech Lead Databricks Data Engineer,Mitre Media,$160k - $180k,"apache, api, AWS, big data, cloud, java, python, scala, sql, AI/ML, documentation, CAD, CI/CD, analytics, advertising, spark, tableau, GCP, ETL, data engineering, SOLID, fintech, Micro services, backbone, github",Entry,Remote,"USA, Canada, USA timezones",Remotive
Software Development,Full-Stack Developer,ELECTE S.R.L.,"$33,6k–$50,4k","api, backend, frontend, fullstack, javascript, postgresql, python, sql, AI/ML, CI/CD, analytics, Typescript , SOLID, serverless, infrastructure, github, CMS",Senior,Remote,Worldwide,Remotive
Software Development,Sr. Firmware Engineer,Sanctuary Computer,$150k - $200k,"AWS, C, C++, cloud, UI/UX, open source, product management, hardware, IoT, startup, kernel, Linux/Unix, infrastructure, service design",Entry,Remote,Worldwide,Remotive
Marketing,Office Assistant,Coalition Technologies ,"$31,2k- $52k","CSS, excel, frontend, git, html, illustrator, magento, photoshop, php, shopify, wordpress, MySQL, startup, responsive, themes, bootstrap, insurance, jQuery, Ajax",Mid,Remote,Worldwide,Remotive
N/A,Infrastructure &amp; Capital Projects Procurement Specialist ANS,"Accenture Infrastructure &amp; Capital Projects, LLC",Not specified,"technical, recruiter, financial, finance, microsoft, legal",Senior,Remote,Remote,RemoteOK
N/A,Senior Security Infrastructure Engineer,Sezzle,Not specified,"security, developer, fintech, cloud, senior, sales, engineer, engineering, digital nomad",Mid,Remote,Brazil,RemoteOK
N/A,Finance Intern,Presence,Not specified,"design, support, controller, travel, manager, accounting, finance, management, senior, health, internship, part-time, digital nomad",Mid,Remote,,RemoteOK
N/A,Technical Support Specialist,Great Minds,Not specified,"students, technical, support, growth, banking, math, strategy, management, content, sales, educational",Senior,Remote,,RemoteOK
N/A,Licensed Master Social Worker,Brave Health,Not specified,"recruiter, support, growth, video, education, senior, medical, health, healthcare",Senior,Remote,,RemoteOK
N/A,Senior Director Field Engineering,Smartsheet,Not specified,"director, technical, support, management, senior, sales, engineering",Senior,Remote,,RemoteOK
N/A,Product Designer,Sharebite,Not specified,"design, designer, ui, engineering, digital nomad",Senior,Remote,Remote,RemoteOK
N/A,Product Manager,Sharebite,Not specified,"manager, saas, growth, strategy, management, lead",Senior,Remote,Remote,RemoteOK
N/A,Creative Director,Lumimeds,Not specified,"director, design, management, marketing, e-commerce, digital nomad",Senior,Remote,US-Based,RemoteOK
N/A,National Account Manager Footwear,ARC&#39;TERYX,Not specified,"manager, support, growth, travel, education, math, lead, marketing, analytics, sales, health",Mid,Remote,"New York, NY",RemoteOK
