job_title,company_name,location,,publish_date,job_link
AI-Enhanced Full Stack Developer,Zyntra Digital -,"Hadayek Alahram, Giza, Egypt",,2 days ago,https://wuzzuf.net/jobs/p/clpvm3suftcy-ai-enhanced-full-stack-developer-zyntra-digital-giza-egypt
ASP.NET Developer (AI-Assisted Development),Roaya -,"Maadi, Cairo, Egypt",,4 days ago,https://wuzzuf.net/jobs/p/ngiyyzjuivcv-aspnet-developer-ai-assisted-development-roaya-cairo-egypt
Ai Video Editor -Tiktok,Confidential -,"Tangier, Morocco",,6 days ago,https://wuzzuf.net/jobs/p/yhtsymbrjgea-ai-video-editor-tiktok-tangier-morocco
IT Infrastructure & AI Solutions Engineer,Fakeeh University Hospital -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/xegytbdg5vmn-it-infrastructure-ai-solutions-engineer-fakeeh-university-hospital-cairo-egypt
QA / Software Test Engineer (AI-Augmented Testing),Roaya -,"Maadi, Cairo, Egypt",,4 days ago,https://wuzzuf.net/jobs/p/chum6imspe0e-qa-software-test-engineer-ai-augmented-testing-roaya-cairo-egypt
AI Specialist,EMIRATES BARQ -,"Sharjah, United Arab Emirates",,6 days ago,https://wuzzuf.net/jobs/p/ktob1xirnsn5-ai-specialist-emirates-barq-alshark-alamarat-alaarby-almthd
AI Creative Producer & Video Creator,tech technology -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/wvkn2zzy9rq9-ai-creative-producer-video-creator-tech-technology-cairo-egypt
Artificial Intelligence (AI) Engineer | Alexandria | On-site,WUZZUF -,"Alexandria, Egypt",,N/A,https://wuzzuf.net/jobs/p/tgl7mn1nk6bw-artificial-intelligence-ai-engineer-alexandria-on-site-wuzzuf-alexandria-egypt
Artificial Intelligence (AI) Engineer | Alexandria | On-site,Akwad -,"Alexandria, Egypt",,N/A,https://wuzzuf.net/jobs/p/mac5ilzaxfvk-artificial-intelligence-ai-engineer-alexandria-on-site-akwad-alexandria-egypt
Senior AI Engineer,LavaLoon -,"Nasr City, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/ioh4wrztmipe-senior-ai-engineer-lavaloon-cairo-egypt
Ai visual producer \ AI Video Creator,Core Wave Agency -,"Riyadh, Saudi Arabia",,N/A,https://wuzzuf.net/saudi/jobs/p/fvb6pqcelrgc-ai-visual-producer-ai-video-creator-core-wave-agency-riyadh-saudi-arabia
AI Content Creator,YZH -,"New Cairo, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/pcw3bhsjcsfr-ai-content-creator-yzh-cairo-egypt
Data Scientist And Machine learning Engineer - Applied AI & Knowledge Sharing,EpsilonAI -,"Nasr City, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/mvgfy3hj4s4u-data-scientist-and-machine-learning-engineer-applied-ai-knowledge-sharing-epsilonai-cairo-egypt
AI/ML Backend Engineer (Junior - Mid-Level),qartas -,"New Capital, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/xy9ldbdi1h5d-aiml-backend-engineer-junior-mid-level-qartas-alkahr-msr
AI Specialist / AI Engineer,tech technology -,"Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/etepim3qc4q5-ai-specialist-ai-engineer-tech-technology-cairo-egypt
Landscape Engineer (Swimming Pool & Outdoor Services),Gulf Data International -,"New Cairo, Cairo, Egypt",,6 days ago,https://wuzzuf.net/jobs/p/ivdx60xn76up-landscape-engineer-swimming-pool-outdoor-services-gulf-data-international-cairo-egypt
Finance Data Entry Assistant..,Meam -,"Tripoli, Libya",,N/A,https://wuzzuf.net/jobs/p/z1hmtgt5pezl-finance-data-entry-assistant-meam-tripoli-libya
Data Entry Specialist,CASA SANCHO -,"Shubra Alkhaymah, Qalubia, Egypt",,N/A,https://wuzzuf.net/jobs/p/rx56vyu8rn4q-data-entry-specialist-casa-sancho-qalubia-egypt
Customer Data Operations Specialist,Confidential -,"New Cairo, Cairo, Egypt",,N/A,https://wuzzuf.net/jobs/p/corczmjni4hq-customer-data-operations-specialist-cairo-egypt
